GENESIS-Tabelle: 91111-0001
Indikatoren zur nachhaltigen Entwicklung: Deutschland, Jahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nachhaltige Entwicklung in Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indikatoren (jew. ME);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
NE2-01;Keine Armut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-01-01;  Materielle Deprivation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-01-01-A-1;    Anteil mat. Deprivierte a.d.Gesamtbev., Dtld. (%);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;11,10;12,40;11,30;11,60;12,30;11,20;9,60;8,30;7,60;6,80;9,10;8,80;...
NE2-01-01-A-2;    Anteil mat. Deprivierte a.d.Gesamtbev., EU (%);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;17,80;18,50;19,80;19,50;19,70;17,50;16,00;14,00;13,10;12,40;12,70;11,90;...
NE2-01-01-B-1;    Anteil erheb.mat.Depriv. a.d.Gesamtbev., Dtld. (%);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4,50;5,30;4,90;5,40;5,00;4,40;3,70;3,40;3,10;2,60;5,60;...;...
NE2-01-01-B-2;    Anteil erheb.mat.Depriv. a.d.Gesamtbev., EU (%);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;8,40;8,80;9,90;9,60;8,90;8,10;7,50;6,60;5,90;5,30;5,90;...;...
NE2-02;Kein Hunger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-02-01;  Landbewirtschaftung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-02-01-A-1;    Stickstoffüberschuss, 5JD (kg/ha landw.gen.Fläche);.;.;116,62;110,96;109,09;107,51;107,80;108,74;109,15;107,94;108,31;107,82;105,08;102,51;103,30;102,23;101,79;99,07;96,65;96,76;94,88;92,96;93,20;95,56;94,01;93,80;92,67;91,46;86,98;...;...;...;...
NE2-02-01-A-2;    Stickstoffüberschuss, J (kg/ha landw.gen.Fläche);141,48;117,08;111,92;106,31;106,28;113,21;107,75;103,97;107,78;110,97;115,27;101,73;105,78;105,36;97,28;102,41;105,69;100,42;103,16;83,67;90,31;106,23;91,03;93,58;84,83;102,13;98,47;89,99;87,94;78,75;79,72;...;...
NE2-02-01-B;    Anteil Anbaufläche öko.Landbau an landw.gen.Fl.(%);.;.;.;.;.;.;.;.;.;2,85;.;3,57;.;4,30;.;4,59;.;5,08;.;.;5,64;.;5,76;6,04;6,18;6,34;6,82;6,82;7,34;7,75;9,59;9,69;...
NE2-02-02;  Ernährungssicherung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-02-02-A;    Ant. ausgez.Mittel a.Gesamtausg.Ernährungssich.(%);.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;16,71;.;18,32;.;...;...;...
NE2-03;Gesundheit und Wohlergehen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NE2-03-01;  Gesundheit und Ernährung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
