Bundeslaender;insgesamt;0bis3;0bis1;1bis2;2bis3;3bis6;6bis14
Baden-Württemberg; 485 395; 85 421; 1 292; 28 430; 55 699; 307 585; 92 389
Bayern; 645 568; 115 974; 1 354; 40 945; 73 675; 359 564; 170 030
Berlin; 171 686; 49 825;  456; 20 360; 29 009; 103 638; 18 223
Brandenburg; 197 879; 31 816;  472; 13 651; 17 693; 66 118; 99 945
Bremen; 30 057; 5 416;  41; 1 832; 3 543; 18 039; 6 602
Hamburg; 86 355; 27 685;  356; 11 760; 15 569; 51 562; 7 108
Hessen; 280 220; 50 551;  799; 18 156; 31 596; 169 867; 59 802
Mecklenburg-Vorpommern; 114 876; 19 368;  260; 8 554; 10 554; 39 441; 56 067
Niedersachsen; 354 415; 64 043;  459; 22 986; 40 598; 215 232; 75 140
Nordrhein-Westfalen; 661 648; 106 486;  619; 23 110; 82 757; 478 476; 76 686
Rheinland-Pfalz; 171 854; 33 419;  255; 6 170; 26 994; 110 781; 27 654
Saarland; 38 046; 7 379;  137; 2 691; 4 551; 22 659; 8 008
Sachsen; 322 754; 47 967;  613; 20 230; 27 124; 105 209; 169 578
Sachsen-Anhalt; 154 625; 28 075;  948; 12 345; 14 782; 51 529; 75 021
Schleswig-Holstein; 121 208; 22 730;  210; 8 222; 14 298; 72 041; 26 437
Thüringen; 89 837; 25 396;  369; 10 337; 14 690; 51 980; 12 461
Deutschland;3 926 423; 721 551; 8 640; 249 779; 463 132;2 223 721; 981 151
Früheres Bundesgebiet;2 874 766; 519 104; 5 522; 164 302; 349 280;1 805 806; 549 856
Neue Länder einschließlich Berlin;1 051 657; 202 447; 3 118; 85 477; 113 852; 417 915; 431 295
