GENESIS-Tabelle: 21211-0104
Ausbildungsverträge: Bundesländer, Jahre, Nationalität, Geschlecht, Ausbildungsbereich;;;;;;;;;;;;;;;;;;;
Berufsbildungsstatistik;;;;;;;;;;;;;;;;;;;
Neu abgeschlossene Ausbildungsverträge (Anzahl);;;;;;;;;;;;;;;;;;;
;;;;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer
;;;;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
2008;Industrie und Handel;Deutsche;männlich;26493;31269;6546;6585;2496;5325;13545;5163;17595;43059;9306;2616;10641;6393;6198;6369
2008;Industrie und Handel;Deutsche;weiblich;18684;24789;5478;4314;1611;4428;10128;3897;13596;29166;6900;1992;6996;4386;5124;4143
2008;Industrie und Handel;Deutsche;Insgesamt;45180;56058;12024;10899;4110;9753;23673;9060;31191;72225;16206;4608;17637;10782;11322;10512
2008;Industrie und Handel;Ausländer;männlich;2403;1965;282;30;102;309;1314;24;513;2397;387;120;45;42;138;24
2008;Industrie und Handel;Ausländer;weiblich;1659;1338;234;18;90;234;993;30;369;1278;240;90;42;15;105;30
2008;Industrie und Handel;Ausländer;Insgesamt;4062;3303;516;48;189;540;2307;51;882;3675;627;210;84;57;243;54
2008;Industrie und Handel;Insgesamt;männlich;28896;33234;6828;6615;2598;5634;14859;5187;18111;45456;9693;2736;10686;6435;6333;6393
2008;Industrie und Handel;Insgesamt;weiblich;20343;26127;5712;4332;1701;4659;11118;3924;13965;30444;7140;2082;7035;4401;5229;4173
2008;Industrie und Handel;Insgesamt;Insgesamt;49239;59361;12540;10947;4299;10293;25980;9111;32073;75900;16833;4818;17721;10836;11562;10566
2008;Handwerk;Deutsche;männlich;14133;21165;3330;3099;804;1734;7023;2172;13719;24210;6354;1749;4551;3153;4986;2925
2008;Handwerk;Deutsche;weiblich;5166;7929;1659;978;366;714;2283;744;4635;8235;2142;567;1713;1059;1746;921
2008;Handwerk;Deutsche;Insgesamt;19302;29094;4989;4077;1170;2448;9303;2916;18354;32445;8499;2316;6264;4212;6729;3846
2008;Handwerk;Ausländer;männlich;1812;1287;195;15;45;150;660;3;327;1611;351;111;12;9;132;6
2008;Handwerk;Ausländer;weiblich;939;549;141;9;21;102;303;3;126;825;135;48;15;0;54;0
2008;Handwerk;Ausländer;Insgesamt;2748;1836;336;24;63;252;960;6;453;2436;486;159;27;9;186;6
2008;Handwerk;Insgesamt;männlich;15945;22452;3525;3114;846;1884;7680;2175;14046;25821;6705;1860;4566;3162;5118;2931
2008;Handwerk;Insgesamt;weiblich;6105;8478;1800;987;387;816;2583;747;4758;9060;2280;615;1728;1059;1800;921
