GENESIS-Tabelle: 31121-0004
Baufertigstellungen neuer Gebäude: Deutschland, Jahre,;;;;;;;;;;;;;;;;;;;
Gebäudeart, Energieverwendung, Energieart;;;;;;;;;;;;;;;;;;;
Statistik der Baufertigstellungen;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;
Neue Gebäude (Anzahl);;;;;;;;;;;;;;;;;;;
;;;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart
;;;Wohngebäude;Wohngebäude mit 1 Wohnung;Wohngebäude mit 2 Wohnungen;Wohngebäude mit 3 oder mehr Wohnungen;Wohnheime;Wohngebäude mit Eigentumswohnungen;Nichtwohngebäude;Anstaltsgebäude;Büro- und Verwaltungsgebäude;Landwirtschaftliche Betriebsgebäude;Nichtlandwirtschaftliche Betriebsgebäude;Fabrik- und Werkstattgebäude;Handelsgebäude;Warenlagergebäude;Hotels und Gaststätten;Sonstige Nichtwohngebäude;Ausgewählte Infrastrukturgebäude
2014;Zur Heizung verwendete primäre Energie;Öl;1344;1036;180;127;1;49;530;10;53;38;348;145;.;.;20;81;101
2014;Zur Heizung verwendete primäre Energie;Gas;55269;44558;4608;6002;101;3428;6547;233;804;253;4076;1600;.;.;251;1181;1523
2014;Zur Heizung verwendete primäre Energie;Strom;1009;869;89;44;7;22;585;13;83;23;343;136;.;.;20;123;178
2014;Zur Heizung verwendete primäre Energie;Fernwärme/Fernkälte;8604;5880;412;2269;43;1527;1528;94;252;37;637;224;.;.;98;508;612
2014;Zur Heizung verwendete primäre Energie;Geothermie;8847;7211;894;736;6;421;480;6;133;14;200;81;.;.;18;127;136
2014;Zur Heizung verwendete primäre Energie;Umweltthermie;25788;22287;2390;1106;5;678;1183;34;259;25;637;227;.;.;31;228;273
2014;Zur Heizung verwendete primäre Energie;Solarthermie;670;512;85;72;1;37;50;-;10;3;30;9;.;.;-;7;7
2014;Zur Heizung verwendete primäre Energie;Holz;6020;4489;688;818;25;582;933;29;73;122;568;241;.;.;50;141;170
2014;Zur Heizung verwendete primäre Energie;Biogas/Biomethan;206;127;25;52;2;29;126;4;6;29;70;33;.;.;4;17;38
2014;Zur Heizung verwendete primäre Energie;Sonstige Biomasse;367;262;38;66;1;34;72;4;6;9;44;25;.;.;3;9;16
2014;Zur Heizung verwendete primäre Energie;Sonstige Energie;568;454;62;51;1;21;196;3;24;23;126;54;.;.;8;20;32
2014;Zur Heizung verwendete primäre Energie;Keine Energie;216;183;18;15;-;7;14595;4;11;6354;7865;809;.;.;5;361;627
2014;Zur Heizung verwendete sekundäre Energie;Öl;48;37;3;8;-;2;25;1;3;3;14;6;.;.;1;4;6
2014;Zur Heizung verwendete sekundäre Energie;Gas;800;553;60;179;8;97;256;12;47;7;144;65;.;.;8;46;60
2014;Zur Heizung verwendete sekundäre Energie;Strom;5735;5105;366;255;9;138;420;13;67;22;224;87;.;.;13;94;108
2014;Zur Heizung verwendete sekundäre Energie;Fernwärme/Fernkälte;100;76;6;18;-;14;36;2;3;2;17;7;.;.;2;12;17
2014;Zur Heizung verwendete sekundäre Energie;Geothermie;297;203;52;42;-;24;59;1;15;-;29;15;.;.;2;14;16
2014;Zur Heizung verwendete sekundäre Energie;Umweltthermie;800;656;79;65;-;41;168;3;29;-;105;40;.;.;9;31;40
2014;Zur Heizung verwendete sekundäre Energie;Solarthermie;19247;15126;1829;2273;19;1310;979;41;152;26;541;203;.;.;45;219;267
2014;Zur Heizung verwendete sekundäre Energie;Holz;17527;15253;1722;549;3;332;464;14;46;51;276;113;.;.;38;77;98
2014;Zur Heizung verwendete sekundäre Energie;Biogas/Biomethan;83;43;8;32;-;16;35;1;4;7;18;8;.;.;2;5;9
2014;Zur Heizung verwendete sekundäre Energie;Sonstige Biomasse;62;51;7;4;-;2;17;-;2;-;10;3;.;.;-;5;5
2014;Zur Heizung verwendete sekundäre Energie;Sonstige Energie;446;306;45;93;2;49;247;8;31;12;154;81;.;.;11;42;57
2014;Zur Heizung verwendete sekundäre Energie;Keine Energie;63763;50459;5312;7840;152;4810;24119;338;1315;6800;13412;2956;.;.;377;2254;3030
2014;Zur Warmwasserbereitung verwendete primäre Energie;Öl;756;591;87;77;1;27;284;6;30;12;175;70;.;.;11;61;72
2014;Zur Warmwasserbereitung verwendete primäre Energie;Gas;41546;33282;3472;4705;87;2656;4642;191;598;136;2822;1097;.;.;207;895;1141
2014;Zur Warmwasserbereitung verwendete primäre Energie;Strom;1423;1126;122;166;9;70;1774;33;291;57;1032;337;.;.;47;361;445
2014;Zur Warmwasserbereitung verwendete primäre Energie;Fernwärme/Fernkälte;7657;5277;378;1962;40;1345;1140;74;183;19;460;160;.;.;80;404;479
2014;Zur Warmwasserbereitung verwendete primäre Energie;Geothermie;7566;6250;723;587;6;355;311;4;82;9;129;48;.;.;11;87;91
2014;Zur Warmwasserbereitung verwendete primäre Energie;Umweltthermie;23265;20219;2110;931;5;583;820;31;174;15;443;167;.;.;26;157;194
2014;Zur Warmwasserbereitung verwendete primäre Energie;Solarthermie;11032;9341;901;780;10;445;328;10;61;13;172;61;.;.;10;72;83
2014;Zur Warmwasserbereitung verwendete primäre Energie;Holz;4683;3416;530;713;24;518;592;24;56;83;352;157;.;.;38;77;105
2014;Zur Warmwasserbereitung verwendete primäre Energie;Biogas/Biomethan;183;110;26;45;2;26;86;4;5;16;49;21;.;.;2;12;24
2014;Zur Warmwasserbereitung verwendete primäre Energie;Sonstige Biomasse;304;221;29;53;1;33;58;4;6;5;35;20;.;.;3;8;13
2014;Zur Warmwasserbereitung verwendete primäre Energie;Sonstige Energie;244;190;18;35;1;15;106;1;11;12;70;32;.;.;5;12;13
2014;Zur Warmwasserbereitung verwendete primäre Energie;Keine Energie;10249;7845;1093;1304;7;762;16684;52;217;6553;9205;1414;.;.;68;657;1053
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Öl;76;50;10;16;-;8;37;1;3;2;29;5;.;.;16;2;3
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Gas;7072;5960;529;571;12;364;242;17;37;3;129;55;.;.;7;56;76
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Strom;6348;5621;431;289;7;157;542;20;83;18;291;114;.;.;20;130;156
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Fernwärme/Fernkälte;91;64;10;17;-;11;14;1;4;-;6;1;.;.;2;3;5
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Geothermie;376;278;56;42;-;23;41;-;11;-;17;7;.;.;1;13;13
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Umweltthermie;1108;907;118;83;-;56;105;2;12;2;67;24;.;.;5;22;25
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Solarthermie;30536;24932;2658;2916;30;1636;1186;66;178;31;650;252;.;.;60;261;338
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Holz;2237;1864;258;114;1;73;73;2;11;9;38;22;.;.;4;13;18
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Biogas/Biomethan;72;49;3;19;1;14;22;1;2;4;11;5;.;.;2;4;6
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Sonstige Biomasse;35;31;2;2;-;-;9;-;1;-;6;2;.;.;-;2;2
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Sonstige Energie;344;226;31;85;2;49;205;9;27;10;114;57;.;.;13;45;61
2014;Zur Warmwasserbereitung verwendete sekund. Energie;Keine Energie;60613;47886;5383;7204;140;4444;24349;315;1345;6851;13586;3040;.;.;378;2252;3010
2015;Zur Heizung verwendete primäre Energie;Öl;1195;917;185;93;-;24;479;12;55;34;309;135;35;91;15;69;89
2015;Zur Heizung verwendete primäre Energie;Gas;54419;43499;4559;6243;118;3612;6141;244;802;219;3850;1480;805;1026;206;1026;1367
2015;Zur Heizung verwendete primäre Energie;Strom;990;848;93;44;5;25;515;20;61;20;336;128;49;101;18;78;143
2015;Zur Heizung verwendete primäre Energie;Fernwärme/Fernkälte;8271;5432;370;2412;57;1494;1465;112;308;26;575;199;112;133;77;444;560
2015;Zur Heizung verwendete primäre Energie;Geothermie;7477;6127;711;633;6;376;419;12;124;13;184;73;35;47;14;86;102
2015;Zur Heizung verwendete primäre Energie;Umweltthermie;25642;22147;2286;1196;13;726;1117;49;218;24;626;214;192;150;31;200;264
