GENESIS-Tabelle: 31111-0008
Baugenehmigungen neuer Gebäude: Deutschland, Jahre,;;;;;;;;;;;;;;;;;;;
Gebäudeart, Energieverwendung, Energieart;;;;;;;;;;;;;;;;;;;
Statistik der Baugenehmigungen;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;
Neue Gebäude (Anzahl);;;;;;;;;;;;;;;;;;;
;;;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart;Gebäudeart
;;;Wohngebäude;Wohngebäude mit 1 Wohnung;Wohngebäude mit 2 Wohnungen;Wohngebäude mit 3 oder mehr Wohnungen;Wohnheime;Wohngebäude mit Eigentumswohnungen;Nichtwohngebäude;Anstaltsgebäude;Büro- und Verwaltungsgebäude;Landwirtschaftliche Betriebsgebäude;Nichtlandwirtschaftliche Betriebsgebäude;Fabrik- und Werkstattgebäude;Handelsgebäude;Warenlagergebäude;Hotels und Gaststätten;Sonstige Nichtwohngebäude;Ausgewählte Infrastrukturgebäude
2012;Zur Heizung verwendete primäre Energie;Öl;1193;923;150;118;2;38;571;15;69;36;363;170;.;.;24;88;103
2012;Zur Heizung verwendete primäre Energie;Gas;54300;43795;4411;5982;112;3586;7006;194;880;349;4366;1624;.;.;272;1217;1491
2012;Zur Heizung verwendete primäre Energie;Strom;1049;929;78;41;1;23;576;8;82;20;355;138;.;.;15;111;150
2012;Zur Heizung verwendete primäre Energie;Fernwärme/Fernkälte;8333;5680;367;2222;64;1484;1670;107;315;41;638;217;.;.;74;569;689
2012;Zur Heizung verwendete primäre Energie;Geothermie;10031;8337;917;772;5;432;547;3;167;14;244;96;.;.;13;119;125
2012;Zur Heizung verwendete primäre Energie;Umweltthermie;26129;22810;2209;1105;5;762;1151;14;239;22;638;247;.;.;18;238;254
2012;Zur Heizung verwendete primäre Energie;Solarthermie;641;522;67;51;1;20;52;1;8;2;27;7;.;.;3;14;12
2012;Zur Heizung verwendete primäre Energie;Holz;6312;4817;698;781;16;563;1058;37;94;134;645;285;.;.;44;148;193
2012;Zur Heizung verwendete primäre Energie;Biogas/Biomethan;252;152;26;73;1;48;151;1;17;33;91;57;.;.;3;9;52
2012;Zur Heizung verwendete primäre Energie;Sonstige Biomasse;361;274;42;43;2;30;58;1;9;5;36;19;.;.;2;7;11
2012;Zur Heizung verwendete primäre Energie;Sonstige Energie;287;241;19;26;1;18;155;3;25;11;99;43;.;.;1;17;25
2012;Zur Heizung verwendete primäre Energie;Keine Energie;240;213;18;9;-;15;17369;4;9;7670;9268;891;.;.;6;418;685
2012;Zur Heizung verwendete sekundäre Energie;Öl;36;22;7;7;-;4;30;-;2;6;20;12;.;.;1;2;4
2012;Zur Heizung verwendete sekundäre Energie;Gas;769;536;52;178;3;115;237;8;32;17;135;52;.;.;4;45;57
2012;Zur Heizung verwendete sekundäre Energie;Strom;5338;4768;328;239;3;127;475;9;97;17;262;83;.;.;13;90;101
2012;Zur Heizung verwendete sekundäre Energie;Fernwärme/Fernkälte;101;80;8;12;1;16;20;-;1;3;9;5;.;.;-;7;8
2012;Zur Heizung verwendete sekundäre Energie;Geothermie;294;216;38;38;2;33;56;3;9;-;34;11;.;.;3;10;13
2012;Zur Heizung verwendete sekundäre Energie;Umweltthermie;752;601;63;87;1;53;174;5;29;-;100;43;.;.;8;40;47
2012;Zur Heizung verwendete sekundäre Energie;Solarthermie;20867;16430;1933;2465;39;1482;1143;39;198;30;617;247;.;.;59;259;305
2012;Zur Heizung verwendete sekundäre Energie;Holz;18508;16209;1765;527;7;345;485;12;47;49;285;117;.;.;21;92;105
2012;Zur Heizung verwendete sekundäre Energie;Biogas/Biomethan;99;84;11;4;-;3;41;-;2;9;27;17;.;.;1;3;13
2012;Zur Heizung verwendete sekundäre Energie;Sonstige Biomasse;88;75;8;5;-;2;15;-;-;2;11;1;.;.;1;2;3
2012;Zur Heizung verwendete sekundäre Energie;Sonstige Energie;561;432;29;95;5;66;349;16;56;20;221;117;.;.;12;36;62
2012;Zur Heizung verwendete sekundäre Energie;Keine Energie;61715;49240;4760;7566;149;4773;27339;296;1441;8184;15049;3089;.;.;352;2369;3072
2012;Zur Warmwasserbereitung verwendete primäre Energie;Öl;1052;805;134;111;2;36;451;15;63;23;278;132;.;.;21;72;83
2012;Zur Warmwasserbereitung verwendete primäre Energie;Gas;45674;36431;3758;5380;105;3205;5754;180;761;234;3531;1344;.;.;261;1048;1296
2012;Zur Warmwasserbereitung verwendete primäre Energie;Strom;1706;1407;146;148;5;70;1872;24;325;68;1054;340;.;.;34;401;440
2012;Zur Warmwasserbereitung verwendete primäre Energie;Fernwärme/Fernkälte;8223;5609;361;2192;61;1472;1434;105;276;23;538;174;.;.;75;492;605
2012;Zur Warmwasserbereitung verwendete primäre Energie;Geothermie;9695;8098;864;728;5;421;453;3;127;14;207;82;.;.;12;102;108
2012;Zur Warmwasserbereitung verwendete primäre Energie;Umweltthermie;25089;21947;2100;1037;5;713;922;10;191;18;514;218;.;.;15;189;200
2012;Zur Warmwasserbereitung verwendete primäre Energie;Solarthermie;11207;9523;940;737;7;460;395;11;52;16;218;75;.;.;12;98;108
2012;Zur Warmwasserbereitung verwendete primäre Energie;Holz;5609;4234;613;746;16;547;758;34;72;94;456;209;.;.;39;102;144
2012;Zur Warmwasserbereitung verwendete primäre Energie;Biogas/Biomethan;247;152;25;69;1;47;115;2;16;29;60;30;.;.;3;8;25
2012;Zur Warmwasserbereitung verwendete primäre Energie;Sonstige Biomasse;340;255;40;43;2;30;52;1;9;5;33;14;.;.;3;4;4
2012;Zur Warmwasserbereitung verwendete primäre Energie;Sonstige Energie;279;227;20;31;1;17;130;2;15;20;76;39;.;.;-;17;22
2012;Zur Warmwasserbereitung verwendete primäre Energie;Keine Energie;7;5;1;1;-;1;18028;1;7;7793;9805;1137;.;.;-;422;755
2012;Zur Warmwasserbereitung verwendete sekund. Energie;Öl;111;83;18;10;-;6;34;-;1;4;26;6;.;.;17;3;4
2012;Zur Warmwasserbereitung verwendete sekund. Energie;Gas;6065;5054;461;544;6;353;283;11;40;6;165;71;.;.;9;61;74
2012;Zur Warmwasserbereitung verwendete sekund. Energie;Strom;6186;5510;424;248;4;136;559;16;102;15;302;103;.;.;17;124;149
2012;Zur Warmwasserbereitung verwendete sekund. Energie;Fernwärme/Fernkälte;103;84;4;13;2;13;24;-;5;3;9;3;.;.;-;7;8
2012;Zur Warmwasserbereitung verwendete sekund. Energie;Geothermie;422;331;56;34;1;36;41;3;8;-;20;6;.;.;2;10;12
2012;Zur Warmwasserbereitung verwendete sekund. Energie;Umweltthermie;1071;878;93;99;1;65;106;3;16;2;59;24;.;.;4;26;29
