GENESIS-Tabelle: 31141-0003
Abgang von Gebäuden/Gebäudeteilen im Hochbau: Deutschland, Jahre, Gebäudeart, Eigentümer;;;;;;
Statistik des Bauabgangs;;;;;;
Deutschland;;;;;;
;;;Gebäude/Gebäudeteile;Nutzfläche;Wohnfläche;Wohnungen
;;;Anzahl;1000 qm;1000 qm;Anzahl
2015;Wohngebäude;Öffentliche Eigentümer;621;46;248;4174
2015;Wohngebäude;Unternehmen;2004;172;796;13026
2015;Wohngebäude;Wohnungsunternehmen;1302;124;585;10060
2015;Wohngebäude;Immobilienfonds;28;1;7;72
2015;Wohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;95;3;16;139
2015;Wohngebäude;Produzierendes Gewerbe;180;13;62;807
2015;Wohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;399;31;127;1948
2015;Wohngebäude;Private Haushalte;4501;206;678;6586
2015;Wohngebäude;Organisationen ohne Erwerbszweck;167;22;64;1017
2015;Nichtwohngebäude;Öffentliche Eigentümer;1141;1183;18;266
2015;Nichtwohngebäude;Unternehmen;4507;4951;86;994
2015;Nichtwohngebäude;Wohnungsunternehmen;1183;1425;41;481
2015;Nichtwohngebäude;Immobilienfonds;90;209;2;27
2015;Nichtwohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;930;333;11;96
2015;Nichtwohngebäude;Produzierendes Gewerbe;818;1086;5;56
2015;Nichtwohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;1486;1898;27;334
2015;Nichtwohngebäude;Private Haushalte;5445;1508;134;1457
2015;Nichtwohngebäude;Organisationen ohne Erwerbszweck;315;231;9;110
2016;Wohngebäude;Öffentliche Eigentümer;714;45;288;5283
2016;Wohngebäude;Unternehmen;2241;161;709;10521
2016;Wohngebäude;Wohnungsunternehmen;1503;106;526;8277
2016;Wohngebäude;Immobilienfonds;34;3;14;153
2016;Wohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;80;4;14;93
2016;Wohngebäude;Produzierendes Gewerbe;152;13;37;480
2016;Wohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;472;36;119;1518
2016;Wohngebäude;Private Haushalte;4636;209;702;6652
2016;Wohngebäude;Organisationen ohne Erwerbszweck;134;8;41;620
2016;Nichtwohngebäude;Öffentliche Eigentümer;1262;1168;17;205
2016;Nichtwohngebäude;Unternehmen;4268;4993;85;924
2016;Nichtwohngebäude;Wohnungsunternehmen;1140;1378;38;427
2016;Nichtwohngebäude;Immobilienfonds;80;305;3;41
2016;Nichtwohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;799;305;12;88
2016;Nichtwohngebäude;Produzierendes Gewerbe;805;1240;5;54
2016;Nichtwohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;1444;1765;28;314
2016;Nichtwohngebäude;Private Haushalte;5641;1609;143;1538
2016;Nichtwohngebäude;Organisationen ohne Erwerbszweck;311;231;6;67
2017;Wohngebäude;Öffentliche Eigentümer;526;35;191;3031
2017;Wohngebäude;Unternehmen;2209;154;739;11552
2017;Wohngebäude;Wohnungsunternehmen;1421;98;567;9486
2017;Wohngebäude;Immobilienfonds;24;3;10;123
2017;Wohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;81;5;17;119
2017;Wohngebäude;Produzierendes Gewerbe;160;9;39;392
2017;Wohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;523;39;106;1432
2017;Wohngebäude;Private Haushalte;4340;196;666;6374
2017;Wohngebäude;Organisationen ohne Erwerbszweck;153;13;50;996
2017;Nichtwohngebäude;Öffentliche Eigentümer;958;1029;18;245
2017;Nichtwohngebäude;Unternehmen;3776;4064;92;1002
2017;Nichtwohngebäude;Wohnungsunternehmen;1027;1223;35;391
2017;Nichtwohngebäude;Immobilienfonds;105;203;4;46
2017;Nichtwohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;770;295;16;115
2017;Nichtwohngebäude;Produzierendes Gewerbe;613;770;6;65
2017;Nichtwohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;1261;1573;31;385
2017;Nichtwohngebäude;Private Haushalte;5299;1524;144;1525
2017;Nichtwohngebäude;Organisationen ohne Erwerbszweck;282;218;6;142
2018;Wohngebäude;Öffentliche Eigentümer;481;35;217;3609
2018;Wohngebäude;Unternehmen;2441;183;803;10940
2018;Wohngebäude;Wohnungsunternehmen;1651;120;577;8661
2018;Wohngebäude;Immobilienfonds;33;4;8;80
2018;Wohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;68;4;13;77
2018;Wohngebäude;Produzierendes Gewerbe;145;9;33;399
2018;Wohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;544;46;172;1723
2018;Wohngebäude;Private Haushalte;4283;193;645;6104
2018;Wohngebäude;Organisationen ohne Erwerbszweck;150;12;49;1006
2018;Nichtwohngebäude;Öffentliche Eigentümer;959;1041;16;153
2018;Nichtwohngebäude;Unternehmen;4149;4478;91;990
2018;Nichtwohngebäude;Wohnungsunternehmen;1123;1292;41;456
2018;Nichtwohngebäude;Immobilienfonds;80;261;0;6
2018;Nichtwohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;718;273;10;80
2018;Nichtwohngebäude;Produzierendes Gewerbe;733;912;7;72
2018;Nichtwohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;1495;1740;32;376
2018;Nichtwohngebäude;Private Haushalte;4647;1305;119;1332
2018;Nichtwohngebäude;Organisationen ohne Erwerbszweck;249;229;7;100
2019;Wohngebäude;Öffentliche Eigentümer;494;39;172;2986
2019;Wohngebäude;Unternehmen;1893;135;583;9042
2019;Wohngebäude;Wohnungsunternehmen;1418;101;469;7443
2019;Wohngebäude;Immobilienfonds;31;2;15;366
2019;Wohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;72;5;13;90
2019;Wohngebäude;Produzierendes Gewerbe;92;8;24;403
2019;Wohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;280;20;62;740
2019;Wohngebäude;Private Haushalte;3670;163;553;5483
2019;Wohngebäude;Organisationen ohne Erwerbszweck;122;13;41;862
2019;Nichtwohngebäude;Öffentliche Eigentümer;897;947;12;196
2019;Nichtwohngebäude;Unternehmen;3477;4136;85;1006
2019;Nichtwohngebäude;Wohnungsunternehmen;1112;1316;43;533
2019;Nichtwohngebäude;Immobilienfonds;95;242;3;40
2019;Nichtwohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;669;304;13;103
2019;Nichtwohngebäude;Produzierendes Gewerbe;548;717;7;61
2019;Nichtwohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;1053;1556;19;269
2019;Nichtwohngebäude;Private Haushalte;4400;1235;124;1301
2019;Nichtwohngebäude;Organisationen ohne Erwerbszweck;204;192;7;93
2020;Wohngebäude;Öffentliche Eigentümer;346;27;124;1969
2020;Wohngebäude;Unternehmen;1615;125;510;7596
2020;Wohngebäude;Wohnungsunternehmen;1218;96;418;6618
2020;Wohngebäude;Immobilienfonds;9;3;9;139
2020;Wohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;57;3;10;64
2020;Wohngebäude;Produzierendes Gewerbe;66;5;17;199
2020;Wohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;265;19;57;576
2020;Wohngebäude;Private Haushalte;3614;163;528;5274
2020;Wohngebäude;Organisationen ohne Erwerbszweck;112;7;29;429
2020;Nichtwohngebäude;Öffentliche Eigentümer;748;826;10;116
2020;Nichtwohngebäude;Unternehmen;3264;3362;72;862
2020;Nichtwohngebäude;Wohnungsunternehmen;1104;1105;41;517
2020;Nichtwohngebäude;Immobilienfonds;77;269;1;13
2020;Nichtwohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;565;195;8;77
2020;Nichtwohngebäude;Produzierendes Gewerbe;532;618;4;37
2020;Nichtwohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;986;1175;18;218
2020;Nichtwohngebäude;Private Haushalte;4936;1339;157;1633
2020;Nichtwohngebäude;Organisationen ohne Erwerbszweck;179;186;7;75
2021;Wohngebäude;Öffentliche Eigentümer;339;24;130;2345
2021;Wohngebäude;Unternehmen;1540;116;502;7233
