GENESIS-Tabelle: 31131-0003
Bauüberhang an genehmigten Bauvorhaben im Hochbau: Deutschland, Stichtag, Gebäudeart, Bauherr;;;;;;;
Statistik des Bauüberhangs;;;;;;;
Deutschland;;;;;;;
;;;Gebäude/Baumaßnahmen;Rauminhalt in neuen Gebäuden;Nutzfläche;Wohnungen;Wohnfläche der Wohnungen
;;;Anzahl;1000 cbm;1000 qm;Anzahl;1000 qm
31.12.2015;Wohngebäude;Öffentliche Bauherren;1523;3014;15;11719;688
31.12.2015;Wohngebäude;Unternehmen;52033;101661;2863;253086;21501
31.12.2015;Wohngebäude;Wohnungsunternehmen;40325;83365;2602;201511;17281
31.12.2015;Wohngebäude;Immobilienfonds;845;2466;23;7356;597
31.12.2015;Wohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;2452;1840;35;3389;408
31.12.2015;Wohngebäude;Produzierendes Gewerbe;1667;2204;63;5209;455
31.12.2015;Wohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;6744;11787;140;35621;2759
31.12.2015;Wohngebäude;Private Haushalte;212991;134935;5361;234288;30326
31.12.2015;Wohngebäude;Organisationen ohne Erwerbszweck;1232;2602;59;8931;556
31.12.2015;Nichtwohngebäude;Öffentliche Bauherren;6898;29096;5094;214;-3
31.12.2015;Nichtwohngebäude;Unternehmen;52610;302216;48062;9796;779
31.12.2015;Nichtwohngebäude;Wohnungsunternehmen;3028;17064;3446;3893;273
31.12.2015;Nichtwohngebäude;Immobilienfonds;524;8806;1318;245;14
31.12.2015;Nichtwohngebäude;Land- und Forstwirtschaft, Tierhaltung, Fischerei;16076;59792;9881;801;85
31.12.2015;Nichtwohngebäude;Produzierendes Gewerbe;13040;96150;14069;691;83
31.12.2015;Nichtwohngebäude;Handel,Kreditinst.,DL,Vers.,Verkehr,Nachrichtenüb.;19942;120404;19348;4166;325
31.12.2015;Nichtwohngebäude;Private Haushalte;17647;19703;3970;3710;382
31.12.2015;Nichtwohngebäude;Organisationen ohne Erwerbszweck;3957;9178;1950;911;34
31.12.2016;Wohngebäude;Öffentliche Bauherren;2079;5036;74;22044;1130
31.12.2016;Wohngebäude;Unternehmen;56305;117197;3491;299122;24638
