GENESIS-Tabelle: 71141-0001
Rechnungsergebnisse des öffentlichen Gesamthaushalts;;;;;;;;;
(Ausgaben): Deutschland, Jahre, Körperschaftsgruppen,;;;;;;;;;
Ausgabearten;;;;;;;;;
Rechnungsergebnisse d.öffentlichen Gesamthaushalts;;;;;;;;;
Deutschland;;;;;;;;;
Ausgaben der öffentlichen Haushalte (Mill. EUR);;;;;;;;;
;;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen
;;Bund;Sondervermögen des Bundes;EU-Anteile;Sozialversicherung;Länder;Gemeinden / Gemeindeverbände;Zweckverbände;Insgesamt
Personalausgaben;1992;26328;-;-;9312;86649;51372;1568;175230
Personalausgaben;1993;26952;-;-;9999;91910;53003;1561;183424
Personalausgaben;1994;26928;8151;-;10579;94051;52670;1629;194009
Personalausgaben;1995;27064;8318;-;10944;98180;54065;1680;200250
Personalausgaben;1996;27031;8277;-;11600;99849;53547;1618;201921
Personalausgaben;1997;26836;8201;-;11637;100562;52685;1584;201506
Personalausgaben;1998;26653;8045;-;11879;92214;38710;772;178274
Personalausgaben;1999;26963;7908;-;12354;93884;39190;767;181066
Personalausgaben;2000;26517;7780;-;12590;94656;39550;769;181861
Personalausgaben;2001;26694;7734;-;12947;95346;39388;781;182891
Personalausgaben;2002;26986;7679;-;13596;97809;40000;807;186877
Personalausgaben;2003;27235;7584;-;13896;97781;40547;833;187875
Personalausgaben;2004;26758;7245;-;13862;98136;40485;816;187302
Personalausgaben;2005;26372;7100;-;14221;97096;40746;806;186340
Personalausgaben;2006;26110;6817;-;14699;95334;40673;804;184436
Personalausgaben;2007;26038;12927;-;14833;96174;40598;795;191366
Personalausgaben;2008;27012;13348;-;15299;96691;42360;805;195515
Personalausgaben;2009;27939;13629;-;16391;100230;44441;832;203463
Personalausgaben;2010;28196;13588;-;17164;102960;45102;851;207860
Personalausgaben;2011;27856;13505;-;17149;105600;46432;881;211423
Laufender Sachaufwand;1992;22234;-184;-;102817;23502;31420;1509;181299
Laufender Sachaufwand;1993;21045;-83;-;101306;25365;32341;1551;181524
Laufender Sachaufwand;1994;19709;130;-;110424;26381;33298;1722;191663
Laufender Sachaufwand;1995;19389;132;-;117191;26903;32841;1714;198170
Laufender Sachaufwand;1996;19704;195;-;126770;27464;32683;1617;208433
Laufender Sachaufwand;1997;19361;367;-;128858;27074;32551;1760;209970
Laufender Sachaufwand;1998;19624;158;-;132288;22449;26575;1424;202518
Laufender Sachaufwand;1999;20329;438;-;136578;22780;27452;1371;208948
Laufender Sachaufwand;2000;20706;155;-;139952;23450;28242;1355;213859
