GENESIS-Tabelle: 71141-0002
Rechnungsergebnisse des öffentlichen Gesamthaushalts;;;;;;;;;
(Einnahmen): Deutschland, Jahre, Körperschaftsgruppen,;;;;;;;;;
Einnahmearten;;;;;;;;;
Rechnungsergebnisse d.öffentlichen Gesamthaushalts;;;;;;;;;
Deutschland;;;;;;;;;
Einnahmen der öffentlichen Haushalte (Mill. EUR);;;;;;;;;
;;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen;Körperschaftsgruppen
;;Bund;Sondervermögen des Bundes;EU-Anteile;Sozialversicherung;Länder;Gemeinden / Gemeindeverbände;Zweckverbände;Insgesamt
Steuern;1992;182432;-1;17159;-;130770;43717;-;374078
Steuern;1993;184234;-;18422;-;136219;44498;3;383376
Steuern;1994;197474;-;20444;-;138462;44759;-;401139
Steuern;1995;199841;-;20111;-;152440;44002;-1;416394
Steuern;1996;190479;-;19861;-;154564;43989;0;408893
Steuern;1997;188324;0;20959;-;153404;44729;0;407417
Steuern;1998;194027;-;21273;-;161578;48537;0;425415
Steuern;1999;211702;-;19937;-;170118;50899;0;452656
Steuern;2000;219018;-;21431;-;174844;51918;0;467211
Steuern;2001;213349;-;19465;-;164488;49023;2;446328
Steuern;2002;214367;-;17628;-;160959;47499;1;440454
Steuern;2003;213947;-;20336;-;160604;46851;0;441739
Steuern;2004;208972;-;18977;-;163267;51284;0;442500
Steuern;2005;211783;-;21036;-;164102;54216;0;451137
Steuern;2006;225645;-;21181;-;179766;60908;-;487500
Steuern;2007;251686;-;21374;-;197962;66006;-;537027
Steuern;2008;260756;-;22414;-;206784;70569;-;560523
Steuern;2009;252643;-;20810;-;188423;62153;0;524030
Steuern;2010;254937;-;24069;-;188441;63798;-;531246
Steuern;2011;276681;-;24499;-;202346;69683;0;573209
Steuerähnliche Abgaben;1992;5;-;436;271155;1037;73;0;272706
Steuerähnliche Abgaben;1993;3;-;463;287561;1268;80;0;289375
Steuerähnliche Abgaben;1994;52;-;508;306846;1456;77;0;308939
Steuerähnliche Abgaben;1995;3;-;422;325711;1438;76;1;327650
Steuerähnliche Abgaben;1996;2;435;350;339905;1410;77;0;342178
Steuerähnliche Abgaben;1997;2;32;290;352972;1248;75;0;354620
Steuerähnliche Abgaben;1998;1;3;309;350641;1098;76;0;352128
Steuerähnliche Abgaben;1999;0;34;349;355034;1333;71;0;356822
Steuerähnliche Abgaben;2000;0;61;359;357461;1357;83;0;359322
Steuerähnliche Abgaben;2001;0;118;224;362044;1348;96;0;363829
Steuerähnliche Abgaben;2002;0;181;-;368284;1420;75;0;369960
Steuerähnliche Abgaben;2003;0;180;-;372929;1293;79;0;374481
Steuerähnliche Abgaben;2004;0;206;-;374030;1300;77;0;375614
Steuerähnliche Abgaben;2005;0;354;-;373702;1277;78;0;375411
Steuerähnliche Abgaben;2006;0;325;-;393231;1157;75;0;394788
Steuerähnliche Abgaben;2007;0;275;-;375117;1083;77;0;376552
Steuerähnliche Abgaben;2008;9;368;-;382049;880;58;0;383364
Steuerähnliche Abgaben;2009;0;432;-;385831;726;56;0;387045
Steuerähnliche Abgaben;2010;0;426;-;393609;743;71;0;394849
Steuerähnliche Abgaben;2011;0;1121;-;409461;792;49;0;411423
Einnahmen aus wirtschaftlicher Tätigkeit;1992;8984;3;-;204;3529;6270;71;19061
Einnahmen aus wirtschaftlicher Tätigkeit;1993;8254;1;-;216;3596;6644;101;18812
Einnahmen aus wirtschaftlicher Tätigkeit;1994;9000;139;-;231;3822;6987;105;20285
Einnahmen aus wirtschaftlicher Tätigkeit;1995;6138;109;-;662;4149;7036;79;18172
Einnahmen aus wirtschaftlicher Tätigkeit;1996;6669;118;-;154;3947;7308;84;18279
Einnahmen aus wirtschaftlicher Tätigkeit;1997;5981;216;-;137;3876;7445;120;17775
Einnahmen aus wirtschaftlicher Tätigkeit;1998;13699;157;-;28;4475;7697;209;26265
Einnahmen aus wirtschaftlicher Tätigkeit;1999;10244;58;-;27;4199;7899;100;22526
Einnahmen aus wirtschaftlicher Tätigkeit;2000;5313;95;-;23;4507;7707;121;17767
Einnahmen aus wirtschaftlicher Tätigkeit;2001;9572;16;-;28;3562;8250;151;21580
Einnahmen aus wirtschaftlicher Tätigkeit;2002;11931;16;-;25;4429;10073;137;26611
Einnahmen aus wirtschaftlicher Tätigkeit;2003;6117;28;-;23;4437;8979;105;19690
Einnahmen aus wirtschaftlicher Tätigkeit;2004;1013;27;-;35;4616;8746;122;14560
Einnahmen aus wirtschaftlicher Tätigkeit;2005;1411;29;-;25;7162;8838;75;17540
Einnahmen aus wirtschaftlicher Tätigkeit;2006;3768;21;-;31;4990;8950;90;17850
Einnahmen aus wirtschaftlicher Tätigkeit;2007;5013;2020;-;26;5103;9649;218;22029
Einnahmen aus wirtschaftlicher Tätigkeit;2008;5354;46;-;26;5194;8694;97;19412
Einnahmen aus wirtschaftlicher Tätigkeit;2009;7218;44;-;30;4547;9803;88;21728
Einnahmen aus wirtschaftlicher Tätigkeit;2010;5006;83;-;43;4201;9277;78;18687
Einnahmen aus wirtschaftlicher Tätigkeit;2011;4971;1118;-;53;4696;9655;106;20599
Zinseinnahmen vom öffentlichen Bereich;1992;117;17;-;-;3;66;3;205
Zinseinnahmen vom öffentlichen Bereich;1993;122;14;-;-;25;48;2;211
Zinseinnahmen vom öffentlichen Bereich;1994;126;11;-;-;26;40;3;205
Zinseinnahmen vom öffentlichen Bereich;1995;140;9;-;-;27;32;2;210
Zinseinnahmen vom öffentlichen Bereich;1996;165;8;-;-;37;32;3;244
Zinseinnahmen vom öffentlichen Bereich;1997;205;6;-;-;37;32;2;281
Zinseinnahmen vom öffentlichen Bereich;1998;161;2;-;-;41;30;2;235
Zinseinnahmen vom öffentlichen Bereich;1999;148;1;-;-;8;28;3;187
Zinseinnahmen vom öffentlichen Bereich;2000;19;3;-;-;9;36;2;70
Zinseinnahmen vom öffentlichen Bereich;2001;265;8;-;-;22;39;2;336
Zinseinnahmen vom öffentlichen Bereich;2002;103;26;-;-;22;39;1;191
Zinseinnahmen vom öffentlichen Bereich;2003;122;6;-;-;3;29;1;161
Zinseinnahmen vom öffentlichen Bereich;2004;120;-;-;-;3;27;1;150
Zinseinnahmen vom öffentlichen Bereich;2005;-1;-;-;-;2;22;1;24
Zinseinnahmen vom öffentlichen Bereich;2006;72;0;-;-;3;26;1;102
Zinseinnahmen vom öffentlichen Bereich;2007;79;-;-;-;2;35;1;117
Zinseinnahmen vom öffentlichen Bereich;2008;94;0;-;-;4;37;3;139
Zinseinnahmen vom öffentlichen Bereich;2009;79;2;-;-;2;30;1;115
Zinseinnahmen vom öffentlichen Bereich;2010;77;-;-;-;66;33;1;177
Zinseinnahmen vom öffentlichen Bereich;2011;70;12;-;-;66;29;2;178
Zinseinnahmen von anderen Bereichen;1992;790;1356;-;5377;677;1510;80;9790
Zinseinnahmen von anderen Bereichen;1993;1213;1447;-;4899;647;1380;76;9662
Zinseinnahmen von anderen Bereichen;1994;1719;1534;-;3892;642;1176;70;9033
Zinseinnahmen von anderen Bereichen;1995;1290;1467;-;2718;554;1113;76;7217
Zinseinnahmen von anderen Bereichen;1996;1034;1482;-;2486;561;1020;65;6648
Zinseinnahmen von anderen Bereichen;1997;892;1381;-;2726;559;966;67;6590
Zinseinnahmen von anderen Bereichen;1998;1029;1356;-;1481;513;1076;67;5521
Zinseinnahmen von anderen Bereichen;1999;1092;1117;-;1338;437;1013;62;5059
Zinseinnahmen von anderen Bereichen;2000;1016;1088;-;1899;625;1251;73;5952
Zinseinnahmen von anderen Bereichen;2001;1743;1266;-;1997;1303;1558;81;7948
Zinseinnahmen von anderen Bereichen;2002;1052;1145;-;1508;1209;1388;68;6371
Zinseinnahmen von anderen Bereichen;2003;1087;1147;-;1152;1123;1107;69;5687
Zinseinnahmen von anderen Bereichen;2004;831;1155;-;1013;1826;1028;69;5921
Zinseinnahmen von anderen Bereichen;2005;401;1015;-;872;1147;1105;67;4607
Zinseinnahmen von anderen Bereichen;2006;813;937;-;1161;1321;1224;60;5516
Zinseinnahmen von anderen Bereichen;2007;845;779;-;1884;1258;1530;92;6389
Zinseinnahmen von anderen Bereichen;2008;642;705;-;2570;1390;2004;86;7397
Zinseinnahmen von anderen Bereichen;2009;496;827;-;1425;1014;1618;78;5458
Zinseinnahmen von anderen Bereichen;2010;308;997;-;925;768;984;17;3998
Zinseinnahmen von anderen Bereichen;2011;413;664;-;1101;846;1078;49;4150
Lfd.Zuweisungen,Schuldendiensthilfen v.öff.Bereich;1992;732;12030;-;46408;44968;60871;2288;167298
Lfd.Zuweisungen,Schuldendiensthilfen v.öff.Bereich;1993;879;16689;-;66917;43778;67006;2371;197639
Lfd.Zuweisungen,Schuldendiensthilfen v.öff.Bereich;1994;856;28022;-;65292;41477;69189;2635;207471
Lfd.Zuweisungen,Schuldendiensthilfen v.öff.Bereich;1995;1650;25874;-;67728;33176;71073;2689;202190
Lfd.Zuweisungen,Schuldendiensthilfen v.öff.Bereich;1996;1651;29492;-;73558;37579;70122;3053;215455
Lfd.Zuweisungen,Schuldendiensthilfen v.öff.Bereich;1997;1750;24586;-;73568;38244;67068;3211;208426
Lfd.Zuweisungen,Schuldendiensthilfen v.öff.Bereich;1998;1808;32724;-;75621;36482;66598;3254;216487
Lfd.Zuweisungen,Schuldendiensthilfen v.öff.Bereich;1999;3240;15161;-;83076;36597;67764;3294;209132
Lfd.Zuweisungen,Schuldendiensthilfen v.öff.Bereich;2000;2811;10455;-;87690;38214;70506;3387;213064
Lfd.Zuweisungen,Schuldendiensthilfen v.öff.Bereich;2001;3282;12361;-;91913;39265;70339;3348;220508
Lfd.Zuweisungen,Schuldendiensthilfen v.öff.Bereich;2002;3589;16597;-;100399;40080;71938;3406;236009
Lfd.Zuweisungen,Schuldendiensthilfen v.öff.Bereich;2003;2974;16514;-;103566;39995;70505;3619;237173
Lfd.Zuweisungen,Schuldendiensthilfen v.öff.Bereich;2004;3276;8021;-;102824;40105;72071;3790;230088
Lfd.Zuweisungen,Schuldendiensthilfen v.öff.Bereich;2005;7405;5616;-;105813;40638;75256;3781;238510
Lfd.Zuweisungen,Schuldendiensthilfen v.öff.Bereich;2006;6123;5505;-;98941;41663;76696;3112;232040
Lfd.Zuweisungen,Schuldendiensthilfen v.öff.Bereich;2007;4750;6408;-;105038;42433;82291;3088;244008
Lfd.Zuweisungen,Schuldendiensthilfen v.öff.Bereich;2008;7782;11400;-;105821;43392;87564;3151;259109
Lfd.Zuweisungen,Schuldendiensthilfen v.öff.Bereich;2009;7482;13105;-;113317;45973;91293;3325;274496
Lfd.Zuweisungen,Schuldendiensthilfen v.öff.Bereich;2010;7862;12954;-;128051;49940;91936;3451;294193
Lfd.Zuweisungen,Schuldendiensthilfen v.öff.Bereich;2011;7426;12655;-;122205;51975;94947;3506;292715
Lfd.Zuschüsse,Schuldendiensthilfen v.and.Bereichen;1992;1421;3911;-;1228;3780;4757;200;15296
Lfd.Zuschüsse,Schuldendiensthilfen v.and.Bereichen;1993;1289;2136;0;1358;4408;5341;22;14554
Lfd.Zuschüsse,Schuldendiensthilfen v.and.Bereichen;1994;1367;1417;-;1444;4516;6449;27;15220
Lfd.Zuschüsse,Schuldendiensthilfen v.and.Bereichen;1995;727;569;-;1672;4920;7385;32;15305
Lfd.Zuschüsse,Schuldendiensthilfen v.and.Bereichen;1996;1264;144;-;1906;5406;7143;38;15901
Lfd.Zuschüsse,Schuldendiensthilfen v.and.Bereichen;1997;1511;54;-;2060;5729;5608;31;14993
Lfd.Zuschüsse,Schuldendiensthilfen v.and.Bereichen;1998;1622;314;-;1658;5162;5165;36;13957
Lfd.Zuschüsse,Schuldendiensthilfen v.and.Bereichen;1999;1200;485;-;2181;5548;5066;18;14498
Lfd.Zuschüsse,Schuldendiensthilfen v.and.Bereichen;2000;1184;171;-;1780;5506;5175;40;13856
Lfd.Zuschüsse,Schuldendiensthilfen v.and.Bereichen;2001;956;77;-;1569;5525;5402;14;13543
Lfd.Zuschüsse,Schuldendiensthilfen v.and.Bereichen;2002;4069;2463;-;2905;6253;7208;60;22959
Lfd.Zuschüsse,Schuldendiensthilfen v.and.Bereichen;2003;2548;2672;-;2802;6723;7425;79;22249
Lfd.Zuschüsse,Schuldendiensthilfen v.and.Bereichen;2004;2650;2628;-;2865;6620;8075;80;22918
Lfd.Zuschüsse,Schuldendiensthilfen v.and.Bereichen;2005;3062;2502;-;2741;6396;6948;44;21693
Lfd.Zuschüsse,Schuldendiensthilfen v.and.Bereichen;2006;2803;2465;-;2865;6168;7229;45;21575
Lfd.Zuschüsse,Schuldendiensthilfen v.and.Bereichen;2007;2481;4256;-;2894;6253;7376;58;23318
