"Jahr";"AA";"BKM";"BMAS";"BMBF";"BMDV";"BMEL";"BMF";"BMFSFJ";"BMG";"BMI";"BMJ";"BMUV";"BMVg";"BMWK";"BMWSB";"BMZ";"BKAmt"
"2012";0;0,2;-45,8;-1;34,9;280,9;709,5;-0,1;-610;-37;-53,7;110,8;0;299,8;;0;0
"2013";0;0;68,2;0;-75,7;5,1;230,1;3,1;1;0,1;0,3;702,7;0;494,5;;0;0
"2014";0;0;3088,9;0;4,1;-3;122;3,9;16,5;136,6;11,4;222,7;0;224,4;;0;0
"2015";0;5,3;-6,9;-0,2;-17,7;31,3;-70,9;0,5;0,8;3,7;-43,2;0,5;-0,1;-763,5;;0;0
"2016";0;-0,3;484,7;0;7,1;-0,7;-871,7;70,9;-41,3;-1;24;25,7;0;95,4;;0;0
"2017";0;0;0,6;0;18,1;225,8;57,5;3;4,1;-10,5;69,7;166,9;0;97,4;;0;0
"2018";0;0;16,8;0;3,1;15,3;7,6;0;6,4;0;-0,7;-524,3;0;107,2;;0;0
"2019";0;0;-748,7;53,1;19,9;-27,1;-415,5;0,1;72,3;-49,5;-3,1;45,5;0;71,2;;0;0
"2020";0;0;-86;-0,4;-39,3;97,5;56;1,7;115,4;31,8;-2;140,9;0;27,6;;0;0
"2021";-0,1;0;83,5;0;13;324,8;-15,1;0;-983;0;335,4;8514,2;0;71,1;;0;0
"2022";0;0;-73,9;-0,1;11,6;15,6;20,7;4;12,4;-17,2;149,4;12,8;0;327,9;249,7;0;0
